Txn_ID,Account No,Date,Narration,Dr. Amount,Cr. Amount,Chq/Ref Number,Closing Balance
1,10851232494,01-Apr-11,SALARY,,100000,3455,200000
2,10851232494,02-Apr-11,NEFT-INDIA INFOLINE,,10500,100000,210500
3,10851232494,04-Apr-11,NEFT TRF TO OTHER BANK,100000,,958,110500
4,10851232494,11-Apr-11,LOAN EMI PAYMENT,35000,,1316,75500
5,10851232494,16-Apr-11,ECS CLG RELIANCE,,5861.39,200371,81361.39
6,10851232494,18-Apr-11,DD ISSUE-ON HDFC-KOLKATTA - 108513000553 ,7500,,975950,73861.39
7,10851232494,01-May-11,REIMBURSEMENTS SAL,,5607,18011,79468.39
8,10851232494,01-May-11,SALARY,,98900,959,178368.39
9,10851232494,04-May-11,NEFT TRF TO REVERSAL OTHER BANK,60000,,1601,118368.39
10,10851232494,11-May-11,LOAN EMI PAYMENT,35000,,0758A1           ,83368.39
11,10851232494,15-May-11,CHQ DEPOSIT - REVRSAL MANGALAM CEMENTS,,1000,1662A1           ,84368.39
12,10851232494,16-May-11,LIC INSURANCE PREMIUM,22343,,160928,62025.39
13,10851232494,08-Jun-11,ATM CHQ DEPOSIT,,20000,180112,82025.39
14,10851232494,11-Jun-11,LOAN EMI PAYMENT,35000,,1001,47025.39
15,10851232494,23-Jun-11,ECS CLG NTPC REVERSAL,,1000,49594,48025.39
16,10851232494,09-Jul-11,NEFT CR SAL,,20000,160930,68025.39
17,10851232494,11-Jul-11,LOAN EMI PAYMENT,35000,,11234,33025.39
18,10851232494,10-Aug-11,ATM CHQ DEPOSIT,,35000,160929,68025.39
19,10851232494,12-Aug-11,LOAN EMI PAYMENT,35000,,,33025.39
20,10851232494,20-Aug-11,ATM CASH WDL,2000,,1001,31025.39
21,10851232494,01-Sep-11,ATM CASH WDL,1000,,1002,30025.39
22,10851232494,09-Sep-11,CHQ DEPOSIT,,35000,180123,65025.39
23,10851232494,11-Sep-11,LOAN EMI PAYMENT,35000,,160931,30025.39
24,10851232494,15-Sep-11,REVERSAL,750,,,29275.39
25,10851232494,15-Sep-11,SERVICE CHARGE & EDU CESS,76.5,,,29198.89
1,10851232411,10-Apr-11,CHEQUE DEPOSITED,,5000,1112,25000
2,10851232411,10-Apr-11,CHEQUE DEPOSITED REVERSED,5000,,100000,20000
3,10851232411,10-Apr-11,O/W CHEQUE Bounce Charges,250,,958,19750
4,10851232411,10-Apr-11,Tax on CHQ Bounce Charges,25,,1316,19725
5,10851232411,14-Apr-11,CHEQUE DEPOSITED,,5000,200371,24725
6,10851232411,25-Apr-11,FRANKLIN TEMPLETON MUTUAL FUND,10000,,23232,14725
7,10851232411,01-Jul-11,TRANSFER IN,,5607,18011,20332
8,10851232411,01-Jul-11,TRANSFER IN,,100000,10089,120332
9,10851232411,04-Jul-11,NEFT TRF TO REVERSAL OTHER BANK,60000,,1601,60332
10,10851232411,11-Jul-11,TRANSFER OUT,35000,,0758A3,25332
11,10851232411,15-Jul-11,CHQ DEPOSIT - REVRSAL MANGALAM CEMENTS,,1000,1662A3      ,26332
12,10851232411,16-Jul-11,HDFC BANK CREDIT CARD PAYMENT,12321.89,,160922,14010.11
13,10851232411,08-Jul-11,ATM CHQ DEPOSIT,,20000,180111,34010.11
14,10851232411,11-Jul-11,RTGS to third party,25000,,1001,9010.11
15,10851232411,23-Jul-11,IMPS transfer in,,150000,49594,159010.11
16,10851232411,09-Aug-11,NEFT SALARY ,20000,,160930,139010.11
17,10851232411,11-Aug-11,Electricity MSEB,1981,,11234,137029.11
18,10851232411,10-Aug-11,atm cash withdrawal,20000,,160929,117029.11
19,10851232411,12-Aug-11,Moble recharge,399,,,116630.11
20,10851232411,20-Aug-11,ATM CASH WDL,2000,,1001,114630.11
21,10851232411,01-Sep-11,ATM CASH WDL,1000,,1002,113630.11
22,10851232411,09-Sep-11,neft transfer in,,35000,180123,148630.11
23,10851232411,11-Sep-11,neft sal to ,20000,,160931,128630.11
24,10851232411,20-Sep-11,Electricity MSEB,2001.89,,,126628.22
25,10851232411,21-Sep-11,Moble recharge,399,,,126229.22
1,12121312121,02-Apr-11,OS RELIANCEJIO 191625250875216,303,,PG-0039351403,37567.43
